Label,IPLength,IPHeaderLength,TTL,Protocol,SourcePort,DestPort,SequenceNumber,AckNumber,WindowSize,TCPHeaderLength,TCPLength,TCPStream,TCPUrgentPointer,IPFlags,IPID,IPchecksum,TCPflags,TCPChecksum
TCP_Assistant,52,20,64,6,42208,443,1,1,296,32,0,7,0,0x02,0xdb6a,0xea7e,0x0010,0x70d0
TCP_Assistant,121,20,64,6,36836,443,359,233,406,32,69,2,0,0x02,0x8546,0x4143,0x0018,0xb080
TCP_Assistant,90,20,64,6,36836,443,428,233,406,32,38,2,0,0x02,0x8547,0x4161,0x0018,0xfd23
TCP_Assistant,52,20,64,6,36836,443,466,311,406,32,0,2,0,0x02,0x8548,0x4186,0x0010,0x5960
TCP_Assistant,52,20,64,6,36836,443,466,349,406,32,0,2,0,0x02,0x8549,0x4185,0x0010,0x593a
TCP_Assistant,86,20,64,6,36836,443,466,349,406,32,34,2,0,0x02,0x854a,0x4162,0x0018,0x2234
TCP_Assistant,90,20,64,6,36836,443,500,349,406,32,38,2,0,0x02,0x854b,0x415d,0x0018,0x898f
TCP_Assistant,52,20,64,6,45990,443,26,26,406,32,0,1,0,0x02,0x5af2,0xa23b,0x0010,0x1d13
TCP_Assistant,52,20,64,6,36784,443,1,1,245,32,0,8,0,0x02,0xae47,0x5037,0x0010,0x4d9f
TCP_Assistant,52,20,64,6,55240,443,1,1,406,32,0,10,0,0x02,0x78e3,0xa24a,0x0010,0x409a
TCP_Assistant,78,20,64,6,56034,443,27,27,406,32,26,3,0,0x02,0x6005,0xa648,0x0018,0xea05
TCP_Assistant,52,20,64,6,56034,443,53,53,406,32,0,3,0,0x02,0x6006,0xa661,0x0010,0x8e5f
TCP_Assistant,86,20,64,6,36230,443,185,185,1597,20,46,4,0,0x02,0x0ace,0x5429,0x0018,0x1e6a
TCP_Assistant,77,20,64,6,45990,443,27,26,406,32,25,1,0,0x02,0x5af3,0xa221,0x0018,0x87ba
TCP_Assistant,52,20,64,6,45990,443,52,51,406,32,0,1,0,0x02,0x5af4,0xa239,0x0010,0xeca4
TCP_Assistant,52,20,64,6,41409,443,359,233,406,32,0,9,0,0x02,0x9b27,0x2bf8,0x0010,0x4245
TCP_Assistant,60,20,64,6,43925,443,0,0,14600,40,0,12,0,0x02,0x6464,0x62a8,0x0002,0x6d62
TCP_Assistant,52,20,64,6,43925,443,1,1,229,32,0,12,0,0x02,0x6465,0x62af,0x0010,0xbba0
TCP_Assistant,255,20,64,6,43925,443,1,1,229,32,203,12,0,0x02,0x6466,0x61e3,0x0018,0xd726
TCP_Assistant,52,20,64,6,43925,443,204,1419,273,32,0,12,0,0x02,0x6467,0x62ad,0x0010,0xb50c
TCP_Assistant,52,20,64,6,43925,443,204,2837,317,32,0,12,0,0x02,0x6468,0x62ac,0x0010,0xaf56
TCP_Assistant,52,20,64,6,43925,443,204,3570,362,32,0,12,0,0x02,0x6469,0x62ab,0x0010,0xac4c
TCP_Assistant,137,20,64,6,43925,443,204,3570,362,32,85,12,0,0x02,0x646a,0x6255,0x0018,0x27ab
TCP_Assistant,137,20,64,6,43925,443,289,3907,406,32,85,12,0,0x02,0x646b,0x6254,0x0018,0x9938
TCP_Assistant,82,20,64,6,43925,443,374,3907,406,32,30,12,0,0x02,0x646c,0x628a,0x0018,0x743f
TCP_Assistant,165,20,64,6,43925,443,404,3907,406,32,113,12,0,0x02,0x646d,0x6236,0x0018,0xdd0f
TCP_Assistant,1420,20,64,6,43925,443,517,3907,406,32,1368,12,0,0x02,0x646e,0x5d4e,0x0010,0x14f0
TCP_Assistant,1566,20,64,6,43925,443,1885,3907,406,32,1514,12,0,0x02,0x646f,0x5cbb,0x0018,0x79c0
TCP_Assistant,661,20,64,6,43925,443,3399,3907,406,32,609,12,0,0x02,0x6471,0x6042,0x0018,0x39ba
TCP_Assistant,52,20,64,6,43925,443,4008,3937,406,32,0,12,0,0x02,0x6472,0x62a2,0x0010,0x9bad
TCP_Assistant,52,20,64,6,43925,443,4008,4263,450,32,0,12,0,0x02,0x6473,0x62a1,0x0010,0x99f9
TCP_Assistant,52,20,64,6,43925,443,4008,4505,494,32,0,12,0,0x02,0x6474,0x62a0,0x0010,0x98db
TCP_Assistant,52,20,64,6,43925,443,4008,4535,494,32,0,12,0,0x02,0x6475,0x629f,0x0010,0x98bd
TCP_Assistant,52,20,64,6,43925,443,4008,4573,494,32,0,12,0,0x02,0x6476,0x629e,0x0010,0x9897
TCP_Assistant,90,20,64,6,43925,443,4008,4573,494,32,38,12,0,0x02,0x6477,0x6277,0x0018,0x9722
TCP_Assistant,60,20,64,6,44730,443,0,0,14600,40,0,13,0,0x02,0x1344,0xa98e,0x0002,0x6621
TCP_Assistant,52,20,64,6,44730,443,1,1,229,32,0,13,0,0x02,0x1345,0xa995,0x0010,0xf87f
TCP_Assistant,258,20,64,6,44730,443,1,1,229,32,206,13,0,0x02,0x1346,0xa8c6,0x0018,0xbe07
TCP_Assistant,52,20,64,6,44730,443,207,1419,273,32,0,13,0,0x02,0x1347,0xa993,0x0010,0xf1e7
TCP_Assistant,52,20,64,6,44730,443,207,2656,318,32,0,13,0,0x02,0x1348,0xa992,0x0010,0xece5
TCP_Assistant,137,20,64,6,44730,443,207,2656,318,32,85,13,0,0x02,0x1349,0xa93c,0x0018,0xa29d
TCP_Assistant,137,20,64,6,44730,443,292,2993,362,32,85,13,0,0x02,0x134a,0xa93b,0x0018,0x611a
TCP_Assistant,82,20,64,6,44730,443,377,2993,362,32,30,13,0,0x02,0x134b,0xa971,0x0018,0x2309
TCP_Assistant,306,20,64,6,44730,443,407,2993,362,32,254,13,0,0x02,0x134c,0xa890,0x0018,0xa72e
TCP_Assistant,316,20,64,6,44730,443,661,2993,362,32,264,13,0,0x02,0x134d,0xa885,0x0018,0x24b5
TCP_Assistant,52,20,64,6,44730,443,925,3023,362,32,0,13,0,0x02,0x134e,0xa98c,0x0010,0xe85b
TCP_Assistant,52,20,64,6,44730,443,925,3277,407,32,0,13,0,0x02,0x134f,0xa98b,0x0010,0xe6e1
TCP_Assistant,52,20,64,6,44730,443,925,3549,451,32,0,13,0,0x02,0x1350,0xa98a,0x0010,0xe5a5
TCP_Assistant,52,20,64,6,44730,443,925,3777,495,32,0,13,0,0x02,0x1351,0xa989,0x0010,0xe495
TCP_Assistant,52,20,64,6,44730,443,925,3815,495,32,0,13,0,0x02,0x1352,0xa988,0x0010,0xe46f
TCP_Assistant,90,20,64,6,44730,443,925,3815,495,32,38,13,0,0x02,0x1353,0xa961,0x0018,0xfe4b
TCP_Assistant,52,20,64,6,60429,443,1,1,279,32,0,6,0,0x02,0x7364,0x535f,0x0010,0x0361
TCP_Assistant,52,20,64,6,42208,443,1,1,296,32,0,7,0,0x02,0xdb6b,0xea7d,0x0010,0xaeee
TCP_Assistant,52,20,64,6,36836,443,537,349,406,32,0,2,0,0x02,0x854c,0x4182,0x0010,0x474b
TCP_Assistant,52,20,64,6,36784,443,1,1,245,32,0,8,0,0x02,0xae48,0x5036,0x0010,0x8bbd
TCP_Assistant,86,20,64,6,36230,443,231,231,1597,20,46,4,0,0x02,0x0acf,0x5428,0x0018,0xe115
TCP_Assistant,121,20,64,6,41409,443,360,233,406,32,69,9,0,0x02,0x9b28,0x2bb2,0x0018,0x6c31
TCP_Assistant,90,20,64,6,41409,443,429,233,406,32,38,9,0,0x02,0x9b29,0x2bd0,0x0018,0x5671
TCP_Assistant,52,20,64,6,41409,443,467,349,406,32,0,9,0,0x02,0x9b2a,0x2bf5,0x0010,0x5120
TCP_Assistant,86,20,64,6,41409,443,467,349,406,32,34,9,0,0x02,0x9b2b,0x2bd2,0x0018,0x0550
TCP_Assistant,90,20,64,6,41409,443,501,349,406,32,38,9,0,0x02,0x9b2c,0x2bcd,0x0018,0x9cd1
TCP_Assistant,52,20,64,6,55240,443,1,1,406,32,0,10,0,0x02,0x78e4,0xa249,0x0010,0x7eb8
TCP_Assistant,52,20,64,6,56034,443,52,53,406,32,0,3,0,0x02,0x6007,0xa660,0x0010,0x7ccb
TCP_Assistant,121,20,64,6,36836,443,538,349,406,32,69,2,0,0x02,0x854d,0x413c,0x0018,0x0d99
TCP_Assistant,90,20,64,6,36836,443,607,349,406,32,38,2,0,0x02,0x854e,0x415a,0x0018,0xa70f
TCP_Assistant,52,20,64,6,36836,443,645,465,406,32,0,2,0,0x02,0x854f,0x417f,0x0010,0x5635
TCP_Assistant,86,20,64,6,36836,443,645,465,406,32,34,2,0,0x02,0x8550,0x415c,0x0018,0xb461
TCP_Assistant,90,20,64,6,36836,443,679,465,406,32,38,2,0,0x02,0x8551,0x4157,0x0018,0x528d
TCP_Assistant,86,20,64,6,36230,443,277,231,1597,20,46,4,0,0x02,0x0ad0,0x5427,0x0018,0x6ee8
TCP_Assistant,40,20,64,6,36230,443,323,277,1597,20,0,4,0,0x02,0x0ad1,0x5454,0x0010,0x8a96
TCP_Assistant,60,20,64,6,49736,80,0,0,65535,40,0,14,0,0x02,0x2192,0x0348,0x0002,0x1c44
TCP_Assistant,52,20,64,6,49736,80,1,1,1369,32,0,14,0,0x02,0x2193,0x034f,0x0010,0x8833
TCP_Assistant,52,20,64,6,49736,80,1,1,1369,32,0,14,0,0x02,0x2194,0x034e,0x0011,0x8832
TCP_Assistant,52,20,64,6,49736,80,2,2,1369,32,0,14,0,0x02,0x2195,0x034d,0x0010,0x880f
TCP_Assistant,52,20,64,6,54158,80,1,1,1396,32,0,15,0,0x02,0xdb9b,0x2736,0x0011,0xf5c5
TCP_Assistant,60,20,64,6,40265,80,0,0,65535,40,0,16,0,0x02,0xad5e,0xb187,0x0002,0xd451
TCP_Assistant,52,20,64,6,40265,80,1,1,1369,32,0,16,0,0x02,0xad5f,0xb18e,0x0010,0x2db8
TCP_Assistant,198,20,64,6,40265,80,1,1,1369,32,146,16,0,0x02,0xad60,0xb0fb,0x0018,0xcbd1
TCP_Assistant,52,20,64,6,40265,80,147,846,1396,32,0,16,0,0x02,0xad61,0xb18c,0x0010,0x29a6
TCP_Assistant,52,20,64,6,54158,80,1,1,1396,32,0,15,0,0x02,0xdb9c,0x2735,0x0011,0xf5b0
TCP_Assistant,52,20,64,6,54158,80,1,1,1396,32,0,15,0,0x02,0xdb9d,0x2734,0x0011,0xf59b
TCP_Assistant,52,20,64,6,54158,80,1,1,1396,32,0,15,0,0x02,0xdb9e,0x2733,0x0011,0xf571
TCP_Assistant,52,20,64,6,54158,80,1,1,1396,32,0,15,0,0x02,0xdb9f,0x2732,0x0011,0xf51d
TCP_Assistant,52,20,64,6,54158,80,1,1,1396,32,0,15,0,0x02,0xdba0,0x2731,0x0011,0xf475
TCP_Assistant,52,20,64,6,45990,443,51,51,406,32,0,1,0,0x02,0x5af5,0xa238,0x0010,0xdb08
TCP_Assistant,1500,20,64,6,55637,443,67,63,8202,32,1448,5,0,0x02,0xda62,0xcffe,0x0010,0x1200
TCP_Assistant,214,20,64,6,55637,443,1515,63,8202,32,162,5,0,0x02,0xda63,0xd503,0x0018,0x5f06
TCP_Assistant,52,20,64,6,55637,443,1677,1162,8202,32,0,5,0,0x02,0xda64,0xd5a4,0x0010,0x2e92
TCP_Assistant,198,20,64,6,36230,443,323,277,1597,20,158,4,0,0x02,0x0ad2,0x53b5,0x0018,0x08e7
TCP_Assistant,176,20,64,6,36230,443,481,277,1597,20,136,4,0,0x02,0x0ad3,0x53ca,0x0018,0x87a1
TCP_Assistant,1500,20,64,6,36230,443,617,277,1597,20,1460,4,0,0x02,0x0ad4,0x4e9d,0x0010,0x2abd
TCP_Assistant,1864,20,64,6,36230,443,2077,277,1597,20,1824,4,0,0x02,0x0ad5,0x4d30,0x0018,0xe2e5
TCP_Assistant,122,20,64,6,36230,443,3901,277,1597,20,82,4,0,0x02,0x0ad7,0x53fc,0x0018,0x7ee7
TCP_Assistant,78,20,64,6,36230,443,3983,277,1597,20,38,4,0,0x02,0x0ad8,0x5427,0x0018,0x32b3
TCP_Assistant,40,20,64,6,36230,443,4021,321,1597,20,0,4,0,0x02,0x0ad9,0x544c,0x0010,0x7bf8
TCP_Assistant,40,20,64,6,36230,443,4021,359,1597,20,0,4,0,0x02,0x0ada,0x544b,0x0010,0x7bd2
TCP_Assistant,52,20,64,6,54158,80,1,1,1396,32,0,15,0,0x02,0xdba1,0x2730,0x0011,0xf324
TCP_Assistant,40,20,64,6,36230,443,4021,405,1597,20,0,4,0,0x02,0x0adb,0x544a,0x0010,0x7ba4
TCP_Assistant,86,20,64,6,36230,443,4021,405,1597,20,46,4,0,0x02,0x0adc,0x541b,0x0018,0xbdd0
TCP_Assistant,60,20,64,6,49851,80,0,0,65535,40,0,17,0,0x02,0x1453,0x4632,0x0002,0xc63e
TCP_Assistant,52,20,64,6,49851,80,1,1,1369,32,0,17,0,0x02,0x1454,0x4639,0x0010,0xb3e9
TCP_Assistant,209,20,64,6,49851,80,1,1,1369,32,157,17,0,0x02,0x1455,0x459b,0x0018,0xbf27
TCP_Assistant,52,20,64,6,49851,80,158,433,1386,32,0,17,0,0x02,0x1456,0x4637,0x0010,0xb155
TCP_Assistant,52,20,64,6,49851,80,158,434,1386,32,0,17,0,0x02,0x1457,0x4636,0x0011,0xb153
TCP_Assistant,52,20,64,6,54158,80,1,1,1396,32,0,15,0,0x02,0xdba2,0x272f,0x0011,0xf082
TCP_Assistant,52,20,64,6,43925,443,4045,4573,494,32,0,12,0,0x02,0x6478,0x629c,0x0010,0x86a6
TCP_Assistant,52,20,64,6,44730,443,962,3815,495,32,0,13,0,0x02,0x1354,0xa986,0x0010,0xd2a9
TCP_Assistant,52,20,64,6,60429,443,1,1,279,32,0,6,0,0x02,0x7365,0x535e,0x0010,0x4180
TCP_Assistant,52,20,64,6,42208,443,1,1,296,32,0,7,0,0x02,0xdb6c,0xea7c,0x0010,0xed0d
TCP_Assistant,52,20,64,6,36784,443,1,1,245,32,0,8,0,0x02,0xae49,0x5035,0x0010,0xc9dc
TCP_Assistant,52,20,64,6,41409,443,538,349,406,32,0,9,0,0x02,0x9b2d,0x2bf2,0x0010,0x3f3b
TCP_Assistant,52,20,64,6,54158,80,1,1,1396,32,0,15,0,0x02,0xdba3,0x272e,0x0011,0xeb3e
TCP_Assistant,52,20,64,6,55240,443,1,1,406,32,0,10,0,0x02,0x78e5,0xa248,0x0010,0xbcd6
TCP_Assistant,52,20,64,6,60429,443,2,57,279,32,0,6,0,0x02,0x7366,0x535d,0x0011,0x52ba
TCP_Assistant,52,20,64,6,42208,443,2,57,296,32,0,7,0,0x02,0xdb6d,0xea7b,0x0011,0xfe05
TCP_Assistant,52,20,64,6,56034,443,52,53,406,32,0,3,0,0x02,0x6008,0xa65f,0x0010,0xbb53
TCP_Assistant,52,20,64,6,36836,443,716,465,406,32,0,2,0,0x02,0x8552,0x417c,0x0010,0x444c
TCP_Assistant,86,20,64,6,36230,443,4067,451,1597,20,46,4,0,0x02,0x0add,0x541a,0x0018,0x7644
TCP_Assistant,121,20,64,6,41409,443,539,349,406,32,69,9,0,0x02,0x9b2e,0x2bac,0x0018,0xef08
TCP_Assistant,90,20,64,6,41409,443,608,349,406,32,38,9,0,0x02,0x9b2f,0x2bca,0x0018,0xabe8
TCP_Assistant,52,20,64,6,41409,443,646,465,406,32,0,9,0,0x02,0x9b30,0x2bef,0x0010,0x4e18
TCP_Assistant,86,20,64,6,41409,443,646,465,406,32,34,9,0,0x02,0x9b31,0x2bcc,0x0018,0xca45
TCP_Assistant,90,20,64,6,41409,443,680,465,406,32,38,9,0,0x02,0x9b32,0x2bc7,0x0018,0x311b
TCP_Assistant,121,20,64,6,36836,443,717,465,406,32,69,2,0,0x02,0x8553,0x4136,0x0018,0xe010
TCP_Assistant,90,20,64,6,36836,443,786,465,406,32,38,2,0,0x02,0x8554,0x4154,0x0018,0x4cb9
TCP_Assistant,86,20,64,6,36836,443,824,560,406,32,34,2,0,0x02,0x8555,0x4157,0x0018,0xaf84
TCP_Assistant,90,20,64,6,36836,443,858,560,406,32,38,2,0,0x02,0x8556,0x4152,0x0018,0x3bf9
TCP_Assistant,52,20,64,6,45990,443,51,51,406,32,0,1,0,0x02,0x5af6,0xa237,0x0010,0x193e
TCP_Assistant,52,20,64,6,54158,80,1,1,1396,32,0,15,0,0x02,0xdba4,0x272d,0x0011,0xe0ba
TCP_Assistant,52,20,64,6,43925,443,4045,4573,494,32,0,12,0,0x02,0x6479,0x629b,0x0010,0xc53e
TCP_Assistant,52,20,64,6,44730,443,962,3815,495,32,0,13,0,0x02,0x1355,0xa985,0x0010,0x114a
TCP_Assistant,52,20,64,6,40265,80,147,847,1396,32,0,16,0,0x02,0xad62,0xb18b,0x0010,0x27d4
TCP_Assistant,78,20,64,6,56034,443,53,53,406,32,26,3,0,0x02,0x6009,0xa644,0x0018,0x4e09
TCP_Assistant,52,20,64,6,56034,443,79,79,406,32,0,3,0,0x02,0x600a,0xa65d,0x0010,0x8a7b
TCP_Assistant,52,20,64,6,36784,443,1,1,245,32,0,8,0,0x02,0xae4a,0x5034,0x0010,0x07fb
TCP_Assistant,86,20,64,6,36230,443,4113,497,1597,20,46,4,0,0x02,0x0ade,0x5419,0x0018,0xd8a6
TCP_Assistant,52,20,64,6,55240,443,1,1,406,32,0,10,0,0x02,0x78e6,0xa247,0x0010,0xfaf5
TCP_Assistant,77,20,64,6,45990,443,52,51,406,32,25,1,0,0x02,0x5af7,0xa21d,0x0018,0x5a38
TCP_Assistant,52,20,64,6,45990,443,77,76,406,32,0,1,0,0x02,0x5af8,0xa235,0x0010,0xe8b8
TCP_Assistant,52,20,64,6,41409,443,717,465,406,32,0,9,0,0x02,0x9b33,0x2bec,0x0010,0x3c2f
TCP_Assistant,52,20,64,6,36836,443,895,560,406,32,0,2,0,0x02,0x8557,0x4177,0x0010,0x4156
TCP_Assistant,85,20,64,6,55637,443,1677,1162,8202,32,33,5,0,0x02,0xda65,0xd582,0x0018,0x0a35
TCP_Assistant,52,20,64,6,55637,443,1710,1193,8202,32,0,5,0,0x02,0xda66,0xd5a2,0x0010,0xb24f
TCP_Assistant,281,20,64,6,36171,443,242,93,1597,20,241,0,0,0x02,0xe0e2,0x9e5b,0x0018,0x64fc
TCP_Assistant,40,20,64,6,36171,443,483,185,1597,20,0,0,0,0x02,0xe0e3,0x9f4b,0x0010,0xd165
TCP_Assistant,86,20,64,6,36230,443,4159,543,1597,20,46,4,0,0x02,0x0adf,0x5418,0x0018,0xc289
TCP_Assistant,121,20,64,6,41409,443,718,465,406,32,69,9,0,0x02,0x9b34,0x2ba6,0x0018,0x5f56
TCP_Assistant,90,20,64,6,41409,443,787,465,406,32,38,9,0,0x02,0x9b35,0x2bc4,0x0018,0x91f7
TCP_Assistant,52,20,64,6,41409,443,825,605,406,32,0,9,0,0x02,0x9b36,0x2be9,0x0010,0x4afc
TCP_Assistant,86,20,64,6,41409,443,825,643,406,32,34,9,0,0x02,0x9b37,0x2bc6,0x0018,0x7e18
TCP_Assistant,90,20,64,6,41409,443,859,643,406,32,38,9,0,0x02,0x9b38,0x2bc1,0x0018,0xca88
TCP_Assistant,52,20,64,6,41409,443,897,643,406,32,0,9,0,0x02,0x9b39,0x2be6,0x0014,0x4a8a
TCP_Assistant,52,20,64,6,43925,443,4045,4573,494,32,0,12,0,0x02,0x647a,0x629a,0x0010,0x0368
TCP_Assistant,52,20,64,6,44730,443,962,3815,495,32,0,13,0,0x02,0x1356,0xa984,0x0010,0x4f9f
TCP_Assistant,52,20,64,6,56034,443,78,79,406,32,0,3,0,0x02,0x600b,0xa65c,0x0010,0x78e1
TCP_Assistant,121,20,64,6,36836,443,896,560,406,32,69,2,0,0x02,0x8558,0x4131,0x0018,0xc30a
TCP_Assistant,90,20,64,6,36836,443,965,560,406,32,38,2,0,0x02,0x8559,0x414f,0x0018,0x32da
TCP_Assistant,52,20,64,6,36836,443,1003,676,406,32,0,2,0,0x02,0x855a,0x4174,0x0010,0x5038
TCP_Assistant,86,20,64,6,36836,443,1003,676,406,32,34,2,0,0x02,0x855b,0x4151,0x0018,0xaf1f
TCP_Assistant,90,20,64,6,36836,443,1037,676,406,32,38,2,0,0x02,0x855c,0x414c,0x0018,0x25e7
TCP_Assistant,52,20,64,6,36784,443,1,1,245,32,0,8,0,0x02,0xae4b,0x5033,0x0010,0x461a
TCP_Assistant,52,20,64,6,55240,443,1,1,406,32,0,10,0,0x02,0x78e7,0xa246,0x0010,0x3914
TCP_Assistant,52,20,64,6,45990,443,76,76,406,32,0,1,0,0x02,0x5af9,0xa234,0x0010,0xd71e
TCP_Assistant,86,20,64,6,36230,443,4205,589,1597,20,46,4,0,0x02,0x0ae0,0x5417,0x0018,0xe93f
